Food Name,Calories,Total Fat,Cholesterol (mg),Sodium (mg),Total Carbohydrates,Total Sugar (g),Protein,Allergens,Vegan,Made Without Gluten,Vegetarian,Organic,Halal,Breakfast,Lunch,Dinner,Chase,Lenoir
Waffle Bar,400,13,10,560,67,28,4,"Wheat, Milk",F,F,T,F,T,T,T,T,T,T
Vegan Banana Blueberry Bread,160,7,0,1110,24,25,2,Wheat,T,F,T,F,T,T,F,F,T,T
MWG Chocolate Chip Muffin,160,4,2.22,870,19,31,2,"Soy, Milk",F,T,T,F,T,T,F,F,T,T
Butter Croissants,240,12,35,240,27,14,5,"Egg. Wheat, Milk",F,F,T,F,T,T,F,F,T,T
Blueberry Cinnamon Coffee Cake,370,18,55,65,49,21,4,"Egg, Soy, Wheat, Milk",F,F,T,F,T,T,F,F,T,T
Mini Donuts,130,6,0,220,17,14,2,"Egg, Soy, Wheat, Milk, Tree Nuts",F,F,T,F,T,T,F,F,T,T
Coconut & Mango Overnight Oats,190,6,0,140,31,14,4,"Soy, Tree Nuts",T,T,T,F,T,T,F,F,T,T
Chocolate Cappuccino Muffins,220,11,35,150,27,18,3,"Egg, Soy, Wheat, Milk",F,F,T,F,T,T,F,F,T,T
Tofu Florentine,120,7,4,330,4,0,9,Soy,T,T,T,F,T,T,F,F,T,T
Grits,120,0,0,140,23,0,2,,T,F,T,F,T,T,F,F,T,T
Scrambled Eggs,180,14,365,360,0.8,0,12,"Egg, Milk",F,T,T,F,T,T,F,F,T,T
Pancake Syrup,100,0,0,55,25,15,0,,T,T,T,F,T,T,F,F,T,T
Whole Wheat French Toast,140,4,100,240,18,14,8,"Egg, Soy, Wheat, Milk",F,F,T,F,T,T,F,F,T,T
Impossible Sausage Patty,130,130,0,380,5,0,7,"Soy, Tree Nuts",T,T,T,F,T,T,F,F,T,T
O'Brien Potatoes,150,7,0,150,20,2,2,,T,T,T,F,T,T,F,F,T,T
Biscuits,260,11,0,830,35,3,5,"Wheat, Milk",F,F,T,F,T,T,F,F,T,T
Old Fashioned Oatmeal,150,3,0,5,27,1,5,,T,F,T,F,T,T,F,F,T,T
Hash Brown Potato Patty,110,6,0,280,12,1,1,,T,T,T,F,T,T,F,F,T,T
Bacon,90,8,25,420,0,0,6,,F,T,F,F,F,T,F,F,T,T
Pork Sausage Gravy,110,7,15,140,8,5,4,Milk,F,T,F,F,F,T,F,F,T,T
Turkey Bacon,30,2.5,10,150,0,0,2,,F,T,F,F,F,T,F,F,T,T
Spicy Chicken Biscuit,480,25,20,1050,50,19,12,"Wheat, Milk",F,F,F,F,F,T,F,F,T,T
Strawberry Banana Smoothie,130,0,0,20,31,20,2,Milk,F,F,F,T,T,T,T,T,T,T
Blueberry Banana Smoothie,110,0,0,0,26,17,0.84,,T,T,T,F,T,T,T,T,T,T
Bob's Red Mill Gluten Free Oats,210,5,0,160,33,1,7,,T,T,T,F,T,T,T,T,T,T
MadeGood Vanilla Crispy Squares,80,1,0,100,18,7,1,,T,T,T,F,T,T,T,T,T,T
Red Plate Foods Double Chocolate Chip Cookies,160,7,0,110,22,28,2,,T,T,T,F,T,T,T,T,T,T
Bob's Red Mill GF Apple & Cinnamon Oats,270,5,0,310,48,22,7,,T,T,T,F,T,T,T,T,T,T
O'Doughs Everything Bagel,200,4.5,0,530,38,8,4,"Soy, Sesame",T,T,T,F,T,T,T,T,T,T
Red Plate Foods Ginger Cookies,160,6,0,160,23,24,1,,T,T,T,F,T,T,T,T,T,T
Dolci di Maria Carrot Cake,500,24,0,430,72,48,2,Soy,T,T,T,F,T,T,F,F,T,T
O'Doughs Multigrain Sandwich Slices,160,2,0,340,33,5,3,Soy,T,T,T,F,T,T,T,T,T,T
Red Plate Foods Lemon Blueberry Muffin,370,15,0,320,58,50,2,,T,T,T,F,T,T,T,T,T,T
Katz Cinnamon Donut Holes,110,5,10,150,15,6,0.99,Egg,F,T,T,F,T,T,T,T,T,T
Low Fat Cottage Cheese,80,1,10,440,5,4,13,Milk,F,T,T,F,T,T,T,T,T,T
O'Doughs Original Bagel,200,2.5,0,380,37,6,4,Soy,T,T,T,F,T,T,T,T,T,T
Nonfat Strawberry Yogurt,120,0,2,95,24,31,6,Milk,F,T,T,F,T,T,T,T,T,T
Red Plate Foods Oatmeal Cookies,150,5,0,100,25,25,1,,T,T,T,F,T,T,T,T,T,T
Diced Pineapple,35,0,0,0,9,7,1,,T,T,T,F,T,T,T,T,T,T
Katz Glazed Donut Holes,130,8,10,135,15,8,1,Egg,F,T,T,F,T,T,T,T,T,T
O'Doughs Original Sandwich Slices,160,2,0,330,34,5,3,Soy,T,T,T,F,T,T,T,T,T,T
Schar Ciabatta Roll,120,1.5,0,180,25,2,2,Soy,T,T,T,F,T,T,T,T,T,T
Katz Powdered Donut Holes,170,10,15,160,19,9,1,Egg,F,T,T,F,T,T,T,T,T,T
Raisins,180,0,0,15,44,40,1,,T,T,T,F,T,T,T,T,T,T
O'Doughs Pumpernickel Bagel,200,6,0,350,38,6,5,"Soy, Sesame",T,T,T,F,T,T,T,T,T,T
Apple Jacks,110,1,0,170,23,8,0,Wheat,F,F,T,F,T,T,T,T,T,T
Udi's Everything Bagel,240,8,0,390,37,4,5,Egg,F,T,T,F,T,T,T,T,T,T
Kinnikinnick Cinnamon Sugar Donuts,180,7,15,220,29,11,2,Egg,F,T,T,F,T,T,T,T,T,T
Applesauce,45,0,0,10,12,8,0,,T,T,T,F,T,T,T,T,T,T
Red Plate Foods Chocolate Chip Cookie,160,7,0,140,23,24,1,,T,T,T,F,T,T,T,T,T,T
Frosted Flakes,170,0,0,190,42,15,3,Wheat,F,F,T,F,F,T,T,T,T,T
Udi's Gluten-Free Hamburger Bun,190,5,0,360,32,5,5,Egg,F,T,T,F,T,T,T,T,T,T
Honeydew Melon,40,0,0,20,10,9,1,,T,T,T,F,T,T,T,T,T,T
Kinnikinnick Vanilla Glazed Donuts,210,6,15,200,37,19,2,Egg,F,T,T,F,T,T,T,T,T,T
Nonfat Vanilla Yogurt,120,0,95,95,25,33,6,Milk,F,T,T,F,T,T,T,T,T,T
Cheerios,80,1,0,100,16,1,3,,F,T,T,F,T,T,T,T,T,T
