Food Name,Location,Section,Calories,Total Fat,Total Carbohydrates,Protein,Sodium,Vegan,Vegetarian,Made Without Gluten,Halal,Organic
Shrimp and Broccoli Stir- Fry,Top of Lenoir,THE KITCHEN TABLE,90.0,2.5,6.0,12.0,390.0,False,False,False,False,False
Steamed Bok Choy,Top of Lenoir,THE KITCHEN TABLE,15.0,0.0,3.0,2.0,85.0,True,True,True,True,False
Stir Fried Green Beans with Bok Choy,Top of Lenoir,THE KITCHEN TABLE,25.0,0.5,4.0,1.0,80.0,True,True,False,False,False
Lo Mein Noodles,Top of Lenoir,THE KITCHEN TABLE,130.0,2.0,23.0,4.0,140.0,True,True,False,True,False
Peppermint Stick Ice Cream,Top of Lenoir,ICE CREAM BAR,180.0,9.0,24.0,3.0,50.0,False,True,True,True,False
Coffee Ice Cream,Top of Lenoir,ICE CREAM BAR,190.0,10.0,21.0,3.0,60.0,False,True,True,True,False
Wildberry Sorbet,Top of Lenoir,ICE CREAM BAR,140.0,0.0,34.0,0.0,10.0,True,True,True,False,False
Birthday Cake Ice Cream,Top of Lenoir,ICE CREAM BAR,180.0,8.0,27.0,2.0,55.0,False,True,True,False,False
Chocolate Ice Cream,Top of Lenoir,ICE CREAM BAR,170.0,8.0,22.0,3.0,45.0,False,True,True,False,False
Strawberry Cheesecake Ice Cream,Top of Lenoir,ICE CREAM BAR,190.0,8.0,27.0,2.0,65.0,False,True,False,False,False
Vanilla Ice Cream,Top of Lenoir,ICE CREAM BAR,170.0,9.0,20.0,3.0,50.0,False,True,True,False,False
Salted Caramel Craze Ice Cream,Top of Lenoir,ICE CREAM BAR,230.0,10.0,32.0,3.0,180.0,False,True,True,False,False
Gummy Bears,Top of Lenoir,ICE CREAM BAR,100.0,0.0,23.0,2.0,5.0,False,False,False,False,False
Chocolate Sprinkles,Top of Lenoir,ICE CREAM BAR,20.0,1.0,3.0,0.0,0.0,False,True,True,False,False
Rainbow Sprinkles,Top of Lenoir,ICE CREAM BAR,25.0,1.0,4.0,0.0,0.0,True,True,True,False,False
Oreo Cookie Crumbs,Top of Lenoir,ICE CREAM BAR,130.0,5.0,20.0,1.0,90.0,True,True,False,False,False
Graham Cracker Crumbs,Top of Lenoir,ICE CREAM BAR,140.0,3.0,26.0,2.0,140.0,True,True,False,False,False
Plant Based Meatball Pasta Bake,Top of Lenoir,PLANT FORWARD,390.0,8.0,58.0,22.0,810.0,True,True,False,False,False
Sauteed Mixed Bell Peppers,Top of Lenoir,PLANT FORWARD,15.0,1.0,1.0,0.0,0.0,True,True,True,False,False
Roasted Cauliflower,Top of Lenoir,PLANT FORWARD,45.0,2.0,7.0,2.0,35.0,True,True,True,False,False
